comment,sentiment
I love this product,positive
This is amazing,positive
Very good experience,positive
Fantastic service,positive
Great quality product,positive
I am very happy with this purchase,positive
Excellent customer support,positive
This app works perfectly,positive
Really impressed with the performance,positive
Best product I have used,positive
Highly recommend this to everyone,positive
Very satisfied with the results,positive
This made my work easier,positive
Amazing experience overall,positive
The design is beautiful and useful,positive

I hate this product,negative
Worst product ever,negative
Very bad experience,negative
Not satisfied with this service,negative
Terrible support team,negative
This is horrible,negative
Waste of money,negative
Completely disappointed with this,negative
Very poor quality,negative
The app keeps crashing,negative
I regret buying this product,negative
This service is very slow,negative
Not worth the price,negative
Very frustrating experience,negative
I will never use this again,negative

It is okay,neutral
Average experience,neutral
Nothing special about this,neutral
The product is fine,neutral
Service was normal,neutral
It works as expected,neutral
The quality is acceptable,neutral
The experience was neither good nor bad,neutral
It does the job,neutral
Just an average product,neutral
The service was acceptable,neutral
It is neither great nor terrible,neutral
Performance is moderate,neutral
The app works but needs improvement,neutral
It is fine for basic use,neutral